=== RAPORT PERFORMANTĂ ALGORITMI SORTARE ===
Data testării: Tue Mar 24 22:55:29 2026
=================================================================

>>> FIȘIER: dim_gigant.txt <<<

    Bubble Sort     | Timp:   0.003773s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.000641s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000288s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.000257s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.000351s | Memorie:     1.57 KB
    Quick Sort      | Timp:   0.000246s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000218s | Memorie:     0.00 KB

>>> FIȘIER: int_aleator.txt <<<

  [CAS: Implicit | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.205291s | Memorie:     0.09 KB
    Selection Sort  | Timp:   0.052586s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.039955s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.003268s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003807s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.010156s | Memorie:     2.80 KB
    Heap Sort       | Timp:   0.005322s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.037946s | Memorie:   614.14 KB
    Radix Sort      | Timp:   0.002705s | Memorie:     8.06 KB

>>> FIȘIER: int_batch_mici.txt <<<

  [CAS: Implicit | N: 100000 | TIP: int]
    Shell Sort      | Timp:   0.556120s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.677817s | Memorie:  1563.36 KB
    Quick Sort      | Timp:   0.177797s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.671155s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.053808s | Memorie:   782.13 KB
    Radix Sort      | Timp:   0.205593s | Memorie:   781.50 KB

>>> FIȘIER: int_constant.txt <<<

  [CAS: Implicit | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.000166s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.043180s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000203s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.001384s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003426s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.000250s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000530s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.000706s | Memorie:     7.83 KB
    Radix Sort      | Timp:   0.001691s | Memorie:     8.06 KB

>>> FIȘIER: int_inversat.txt <<<

  [CAS: Implicit | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.260701s | Memorie:     0.09 KB
    Selection Sort  | Timp:   0.046777s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.071854s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.002255s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003389s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.013627s | Memorie:     3.40 KB
    Heap Sort       | Timp:   0.003560s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.036476s | Memorie:   633.67 KB
    Radix Sort      | Timp:   0.002602s | Memorie:     8.06 KB

